#auto generated file!
taskId;TASK_STATUS;deviceId(mobile);datacenterId(type);hostId (i.e., EdgeServerId);vmId;vmType;ApplicationID(taskType);taskLenght (Million Instruction);taskInputSize(KB, namely data to be uploaded);taskOutputSize(KB, namely data to be downloaded);taskStartTime(millisecond);taskEndTime(millisecond);taskStartDeviceEnergy(Watt-Hour);taskEndDeviceEnergy(Watt-Hour);taskStartDeviceEnergyPerc;taskEndDeviceEnergyPerc;getNetworkDelay;WLAN_DELAY;MAN_DELAY;WAN_DELAY;GSM_DELAY;TASK_FAIL_REASON
323;COMPLETED;11;1001;14;16;0;0;1274;1;2;188,97985211275846;189,29835211275847;3,1106249790453706;3,110069423231823;97,15432158059642;97,13696987522245;0,0;0,0;0,0;0,0;0,0;COMLETED
321;COMPLETED;16;1001;19;21;0;0;4424;1;1;188,45993472801652;189,56585211275848;7,719985225452697;7,718596336427594;98,84059811718089;98,82281587823216;0,0;0,0;0,0;0,0;0,0;COMLETED
326;COMPLETED;18;1001;21;23;0;0;930;1;1;189,68178827756003;189,91422520915927;2,628305814757283;2,6277502590655137;96,62000048759097;96,59957752504671;0,0;0,0;0,0;0,0;0,0;COMLETED
328;COMPLETED;12;1001;15;17;0;0;81;1;1;189,92900990880733;189,94925990880733;4,250065450232567;4,2497876723185755;97,86992268614533;97,8635260545441;0,0;0,0;0,0;0,0;0,0;COMLETED
327;COMPLETED;4;1001;7;9;0;0;1054;1;1;189,72047520915928;189,98375990880734;7,232576183957277;7,2320206282655075;98,74095887418028;98,73337428739985;0,0;0,0;0,0;0,0;0,0;COMLETED
324;COMPLETED;15;1001;18;20;0;0;4062;1;1;189,1291574512443;190,14450990880735;4,279197343405198;4,277530676602318;97,90900155954948;97,87086784672738;0,0;0,0;0,0;0,0;0,0;COMLETED
329;COMPLETED;12;1001;15;17;0;0;709;1;1;190,05779828842995;190,23500990880734;4,2497876723185755;4,249509894404584;97,8635260545441;97,85712942294286;0,0;0,0;0,0;0,0;0,0;COMLETED
331;COMPLETED;10;1001;13;15;0;0;1190;1;2;190,36461817506517;190,66200764840914;7,880683046995507;7,880127491181961;98,82953167811482;98,82256460171466;0,0;0,0;0,0;0,0;0,0;COMLETED
330;COMPLETED;25;1001;28;30;0;0;1483;1;1;190,31887155063657;190,68950764840915;6,255407714257959;6,254574380788412;98,53420342912865;98,52107689072166;0,0;0,0;0,0;0,0;0,0;COMLETED
332;COMPLETED;4;1001;7;9;0;0;987;1;1;190,59025764840914;190,83700764840913;7,231187294932174;7,2309095170181825;98,72199741001863;98,7182051156986;0,0;0,0;0,0;0,0;0,0;COMLETED
325;COMPLETED;2;1001;5;7;0;0;5988;1;1;189,37716460318734;190,87400764840913;2,0463000404019747;2,0440778180435384;95,71243706149444;95,60849613718274;0,0;0,0;0,0;0,0;0,0;COMLETED
334;COMPLETED;2;1001;5;7;0;0;532;1;1;191,46861253024062;191,60161253024063;2,0438000402657606;2,043522262351769;95,59550352244017;95,58251090132643;0,0;0,0;0,0;0,0;0,0;COMLETED
336;COMPLETED;3;1001;6;8;0;0;45;1;3;191,99655708758323;192,00780708758322;1,9067911658389947;1,9062356099036695;95,26746986169253;95,23971306835655;0,0;0,0;0,0;0,0;0,0;COMLETED
333;COMPLETED;15;1001;18;20;0;0;3580;1;1;191,18970152570006;192,08455708758322;4,276697343268984;4,2753084542438815;97,85180099187464;97,82002289733678;0,0;0,0;0,0;0,0;0,0;COMLETED
338;COMPLETED;5;1001;8;10;0;0;123;1;1;192,20476843574352;192,23551843574353;3,1384022686164696;3,1381244907024777;97,05358050731664;97,04499035894455;0,0;0,0;0,0;0,0;0,0;COMLETED
335;COMPLETED;22;1001;25;27;0;0;1300;1;1;191,9239399190229;192,24876843574353;5,928052321542787;5,926941210295462;98,4318057930627;98,41335644737897;0,0;0,0;0,0;0,0;0,0;COMLETED
337;COMPLETED;25;1001;28;30;0;0;2640;1;3;192,00277657940117;192,65651843574352;6,253463269677301;6,252907713741976;98,50357484237314;98,49482381221682;0,0;0,0;0,0;0,0;0,0;COMLETED
340;COMPLETED;0;1001;3;5;0;0;523;1;1;207,65378431405233;207,78453431405234;8,6233304214788;8,623052643564808;98,90088844187127;98,89770260981562;0,0;0,0;0,0;0,0;0,0;COMLETED
339;COMPLETED;13;1001;16;18;0;0;6970;1;1;207,12480869385433;208,8670806292558;8,382483570953855;8,381650237469872;98,87290497037817;98,86307565169558;0,0;0,0;0,0;0,0;0,0;COMLETED
